cve,descrip
1,Hasta 3 600
2,De 3 601 a 6 100
3,De 6 101 a 8 100
4,De 8 101 a 9 900
5,De 9 901 a 12 100
6,De 12 101 a 14 500
7,De 14 501 a 17 600
8,De 17 601 a 21 900
9,De 21 901 a 29 100
10,De 29 101 a 45 100
11,Más de 45 100
