cve,descrip
1,Jefa(e) (persona de referencia)
2,Esposa(o) o compañera(o)
3,Hija(o)
4,Nieta(o)
5,Nuera o yerno
6,"Madre, padre o suegra(o)"
7,Otro parentesco
8,Sin parentesco
