cve,descrip
1,Porque habla lengua indígena
2,Porque nació o pertenece a una comunidad indígena
3,"Porque su madre, padre o abuelos hablan o hablaban lengua indígena"
4,"Porque su madre, padre o abuelos pertenecen a una comunidad indígena"
5,Porque la comunidad le reconoce como persona indígena
6,Por sus costumbres y tradiciones
7,Por ser mexicana(o)
8,Otro motivo
