cve,descrip
0,Ninguno
1,Preescolar o kinder
2,Primaria
3,Secundaria
4,Normal básica
5,Estudios técnicos con secundaria terminada
6,Preparatoria o bachillerato
7,Estudios técnicos con preparatoria terminada
8,Licenciatura o ingeniería (profesional)
9,Especialidad
10,Maestría
11,Doctorado
99,No sabe
