cve,descrip
1,Comprar o terminar de pagar su casa
2,Remodelar o mejorar su vivienda
3,Dar estudios a sus hijos o hijas
4,"Tener más dinero para entretenimiento (viajar, comer fuera, cine, etcétera)"
5,Adquirir o terminar de pagar un vehículo
6,Obtener más ingresos
7,Tener o expandir un negocio propio
8,Tener un ahorro
9,Otra meta financiera
10,Ninguna
